debugCMISWE:debug9F3AI4,9,1604094331623,"{""phase"": ""vidcheck"", ""status"": ""restart clicked: 0""}"
debugCMISWE:debug9F3AI4,10,1604094333617,"{""phase"": ""intro_video"", ""status"": ""submit""}"
debugCMISWE:debug9F3AI4,11,1604094342304,"{""phase"": ""intro_video"", ""status"": ""submit""}"
debugCMISWE:debug9F3AI4,12,1604094347076,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debugCMISWE:debug9F3AI4,13,1604094348494,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 1415, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugCMISWE:debug9F3AI4,14,1604094348503,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debugCMISWE:debug9F3AI4,15,1604094355036,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debugCMISWE:debug9F3AI4,16,1604094355045,"{""phase"": ""vidcheck"", ""status"": ""begin""}"
debugCMISWE:debug9F3AI4,17,1604094358548,"{""phase"": ""vidcheck"", ""status"": ""play/pause clicked: 0""}"
debugCMISWE:debug9F3AI4,18,1604094369301,"{""phase"": ""vidcheck"", ""status"": ""video ended""}"
debugCMISWE:debug9F3AI4,19,1604094371118,"{""phase"": ""vidcheck"", ""status"": ""submit""}"
debugCMISWE:debug9F3AI4,20,1604094371877,"{""phase"": ""intro_video"", ""status"": ""submit""}"
debugHRILS6:debug66H9HS,0,1604094386948,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debugHRILS6:debug66H9HS,1,1604094388521,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 1571, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugHRILS6:debug66H9HS,2,1604094388529,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debugHRILS6:debug66H9HS,3,1604094394455,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debugHRILS6:debug66H9HS,4,1604094394465,"{""phase"": ""vidcheck"", ""status"": ""begin""}"
debugHRILS6:debug66H9HS,5,1604094395939,"{""phase"": ""vidcheck"", ""status"": ""play/pause clicked: 0""}"
debugHRILS6:debug66H9HS,6,1604094406684,"{""phase"": ""vidcheck"", ""status"": ""video ended""}"
debugHRILS6:debug66H9HS,7,1604094409078,"{""phase"": ""vidcheck"", ""status"": ""submit""}"
debugHRILS6:debug66H9HS,8,1604094412775,"{""phase"": ""intro_video"", ""status"": ""submit""}"
debug72AAFS:debugFEI2EG,0,1604094437429,"{""action"": ""Begin"", ""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""]}"
